Adder,Node,C,"R,ohm","L,um","PD,uW"
RCA,AO,7.02,864,140,32.16
CSLA,AO,7.08,865,142,73.605
CSA,AO,6.58,862,130,95.889
CBA,AO,7.88,1386,158,68.83
CIA,AO,5.58,855,104,42.794
CSkA,AO,8.89,1032,183,58.351
KSA,AO,4.89,698,99,63.537
RCA,BO,6.82,504,137,32.16
CSLA,BO,6.88,504,139,73.605
CSA,BO,6.39,501,127,95.889
CBA,BO,7.5,664,152,68.83
CIA,BO,5.39,45,101,42.794
CSkA,BO,9.04,1032,186,58.351
KSA,BO,4.7,337,96,63.537
RCA,A 1,7.67,868,156,32.16
CSLA,A 1,6.37,860,125,73.605
CSA,A 1,5.87,857,112,95.889
CBA,A 1,8.51,1390,174,68.83
CIA,A 1,6.23,859,120,42.794
